xi_km,a_xi,b_xi,theta_xi,E_xi
140.63063063063063,-4.928188100155855e-05,1.950856125910526e-05,0.395856669076578,1.40464387872602e-09
140.9209209209209,-4.913618349094145e-05,1.9337935515378317e-05,0.3935579473514336,1.3941601390261984e-09
141.2112112112112,-4.899051632918591e-05,1.9168806281939333e-05,0.39127585741568494,1.3837569122373741e-09
141.50150150150148,-4.8844883646372134e-05,1.9001161344397888e-05,0.3890102693654213,1.3734333954317364e-09
141.7917917917918,-4.8699289546189626e-05,1.8834988541901246e-05,0.38676105375288683,1.3631887978385826e-09
142.08208208208208,-4.8553738105937326e-05,1.8670275767134475e-05,0.3845280815742466,1.3530223406403995e-09
142.37237237237235,-4.8408233376523444e-05,1.8507010966320277e-05,0.38231122425747577,1.3429332567717286e-09
142.66266266266265,-4.826277938246554e-05,1.8345182139219097e-05,0.38011035365037693,1.332920790720832e-09
142.95295295295293,-4.8117380121890535e-05,1.81847773391291e-05,0.37792534200872074,1.3229841983341048e-09
143.24324324324323,-4.797203956653467e-05,1.802578467288617e-05,0.37575606198451006,1.3131227466232127e-09
143.5335335335335,-4.7826761661743535e-05,1.786819230086393e-05,0.37360238661436773,1.3033357135749372e-09
143.82382382382383,-4.7681550326472076e-05,1.771198843697367e-05,0.37146418930804437,1.2936223879636892e-09
144.1141141141141,-4.753640945328459e-05,1.755716134866448e-05,0.36934134383705214,1.2839820691666814e-09
144.4044044044044,-4.739134290835466e-05,1.740369935692308e-05,0.36723372432341367,1.2744140669817113e-09
144.69469469469468,-4.7246354531465276e-05,1.725159083627397e-05,0.36514120522853677,1.2649177014475608e-09
144.98498498498498,-4.7101448136008725e-05,1.710082421477936e-05,0.36306366134220613,1.255492302666952e-09
145.27527527527525,-4.695662750898667e-05,1.695138797403915e-05,0.36100096777169427,1.2461372106320615e-09
145.56556556556555,-4.681189641101006e-05,1.6803270649190988e-05,0.3589529999309939,1.2368517750525498e-09
145.85585585585585,-4.6667258576299253e-05,1.6656460828910216e-05,0.3569196335301658,1.2276353551860983e-09
146.14614614614615,-4.6522717712683934e-05,1.6510947155409926e-05,0.35490074456480836,1.2184873196714071e-09
146.43643643643642,-4.6378277501603086e-05,1.6366718324440923e-05,0.35289620930564314,1.2094070463636466e-09
146.72672672672672,-4.623394159810506e-05,1.6223763085291702e-05,0.3509059042882177,1.2003939221723315e-09
147.017017017017,-4.6089713630847583e-05,1.6082070240788513e-05,0.34892970630272857,1.1914473429015966e-09
147.3073073073073,-4.594559720209768e-05,1.5941628647295294e-05,0.3469674923839594,1.182566713092836e-09
147.5975975975976,-4.5801595887731686e-05,1.5802427214713704e-05,0.3450191398013384,1.1737514458697022e-09
147.8878878878879,-4.56577132372354e-05,1.5664454906483157e-05,0.3430845260491116,1.1650009627854324e-09
148.17817817817817,-4.551395277370383e-05,1.552770073958076e-05,0.34116352883663525,1.1563146936724595e-09
148.46846846846847,-4.5370317993841404e-05,1.5392153784521326e-05,0.33925602607878275,1.1476920764943217e-09
148.75875875875874,-4.522681236796186e-05,1.5257803165357416e-05,0.3373618958864734,1.1391325571998092e-09
149.04904904904905,-4.5083439339988274e-05,1.5124638059679297e-05,0.33548101655731466,1.1306355895793509e-09
149.33933933933932,-4.4940202327453104e-05,1.4992647698614938e-05,0.33361326656636386,1.1222006351236024e-09
149.62962962962965,-4.479710472149807e-05,1.4861821366830049e-05,0.3317585245570096,1.1138271628842157e-09
149.91991991991992,-4.465414988687435e-05,1.4732148402528063e-05,0.329916669331968,1.1055146493367756e-09
